Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.p-value,'mbf1c mutant' vs 'wild type' at '0 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '0 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '20 minute'.p-value,'mbf1c mutant' vs 'wild type' at '20 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '20 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '60 minute'.p-value,'mbf1c mutant' vs 'wild type' at '60 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '60 minute'.log2foldchange
AT1G01010,NAC001,261585_at,0.987919998074416,0.130730215683884,0,NA,0.492200576386229,0.1,NA,-1.49814711580968,-0.2
AT1G01030,NGA3,261568_at,0.996204240714584,0.0456717718631758,0,NA,4.73496223108258,0.7,NA,-1.5277291004966,-0.3
AT1G01040,DCL1,261584_at,0.975062706063474,0.299773766934136,0.1,NA,1.59749624096969,0.3,NA,-1.19368835700803,-0.3
AT1G01050,PPA1,261579_at,0.997100970855399,0.0328467528929023,0,NA,-1.24851286934074,-0.2,NA,-0.188672397197194,0
AT1G01060,LHY,261569_at,0.953143672175718,-1.71596002283551,-1.2,0.877971443446578,-0.776838397723657,-0.6,0.409555172010068,-2.33323254298157,-1.4
AT1G01070,,261576_at,NA,0.438541657881058,0,NA,2.32684955483325,0.3,NA,-1.85653320022687,-0.4
AT1G01080,,261577_at,0.956044959703157,0.763891694573722,0.1,NA,0.71154892868725,0.1,NA,-0.637104490492189,-0.1
AT1G01090,PDH-E1 ALPHA,261583_at,NA,0.12151358317617,0,NA,-1.13248185237215,-0.1,NA,-0.223992932097498,0
AT1G01100,RPP1A,261578_at,0.953143672175718,0.905511280741809,0.1,NA,-0.863275045912464,-0.1,NA,0.730886583679681,0.1
AT1G01110,IQD 18,261580_at,NA,0.111188715833113,0,NA,-2.44551514835995,-0.3,NA,0.857610689563453,0.1
AT1G01120,KCS1,261570_at,0.961737379567544,-0.506495222178697,-0.1,NA,0.788279083916756,0.3,0.99420383898272,0.133799406685348,0.1
AT1G01130,,261575_at,0.975087028335332,-0.298328105711036,0,NA,-0.429377051591188,0,NA,0.91180513404673,0.1
AT1G01140,CIPK9,261581_at,0.953143672175718,-1.39197264124203,-0.2,NA,0.363246000115865,0.1,0.552360971068656,1.74319214880329,0.9
AT1G01150,,261571_at,NA,0.411514939775313,0,NA,-0.808310433389785,-0.1,NA,-0.198728117913285,0
AT1G01160,GIF2,261582_at,0.953143672175718,-1.56661992637359,-0.3,NA,-0.132835037146104,0,NA,-1.58878214132732,-0.2
AT1G01170,,261572_at,0.953143672175718,1.73587027442523,0.2,NA,0.351291303767307,0,NA,-0.435761966188451,-0.1
AT1G01190,CYP78A8,261574_at,0.953143672175718,-1.69990864734824,-0.4,NA,-0.322541114842813,-0.1,NA,-0.533887556584963,-0.1
AT1G01200,RABA3,261042_at,0.953143672175718,1.04003277361474,0.1,NA,0.0503848602682111,0,NA,0.289428973079955,0
AT1G01220,FKGP,261043_at,0.97973052800105,-0.259449180688176,0,NA,-1.94501643268034,-0.4,NA,0.0895643750673593,0
AT1G01225,,261025_at,0.996204240714584,-0.0392576435251211,0,NA,-0.42562843220893,-0.1,NA,-2.17451610838598,-0.3
AT1G01230,,261057_at,0.954458871645888,-0.788929884573532,-0.1,NA,0.411125793457717,0.1,NA,-1.34945383624474,-0.2
AT1G01240,,261026_at,0.956044959703157,-0.759959942921941,-0.3,NA,0.948257331279265,0.3,NA,-0.912938465840277,-0.3
AT1G01250,ERF023,261059_at,0.953143672175718,-1.2240057711328,-0.1,NA,-1.5945162183618,-0.3,NA,-0.193589505957799,0
AT1G01260,BHLH13,261050_at,NA,-0.89195261567514,-0.1,NA,2.61120221007183,0.3,NA,1.26762455816702,0.2
AT1G01280,CYP703A2,261051_at,0.957088940782599,0.756793801700351,0.1,NA,-0.149365878747215,0,NA,0.552014732057437,0.1
AT1G01290,CNX 3.00,261044_at,0.959171010660004,-0.592280829452193,-0.1,NA,-0.901530562064215,-0.2,NA,-1.60790115110226,-0.3
AT1G01300,APF2,261055_at,0.964222886237122,0.450709813816251,0.1,NA,-0.020015585499124,0,NA,0.286657688380135,0.1
AT1G01310,,261045_at,0.981130018794951,-0.228788366620333,0,NA,-0.0841926599852954,0,NA,0.882159175308198,0.1
AT1G01320,,261053_at,0.953143672175718,1.34595319237104,0.4,NA,0.0293519521351073,0,NA,1.02308508326197,0.3
AT1G01340,CNGC10,261027_at,0.957440716376245,-0.75215386938287,-0.1,NA,-0.103952885984704,0,NA,-0.766133139981741,-0.1
AT1G01360,PYL9,261056_at,0.953143672175718,-1.28719113044851,-0.3,NA,1.31104583295323,0.5,NA,-1.18657701105753,-0.3
AT1G01370,HTR12,261058_at,0.953143672175718,1.10303272683064,0.1,NA,-1.01113170165035,-0.1,NA,0.659478674768298,0.1
AT1G01380,ETC1,257490_x_at,NA,1.41407760252137,0.1,NA,-1.54880809289156,-0.2,NA,-0.443862459699152,-0.1
AT1G01390,,261046_at,0.975087028335332,-0.298378208018741,-0.1,NA,-0.977119804144443,-0.2,NA,0.425904896371011,0.1
AT1G01410,APUM22,261047_at,NA,-0.21971909185697,0,NA,-1.79813491756629,-0.2,NA,0.167563791679035,0
AT1G01420,UGT72B3,261048_at,0.957440716376245,-0.752078350831836,-0.1,NA,2.44221730867508,0.4,NA,0.419382191320776,0.1
AT1G01430,TBL25,261049_at,0.953143672175718,-0.914959411687005,-0.2,NA,1.17195263365548,0.2,NA,-1.1047042714441,-0.4
AT1G01440,,261052_at,0.953143672175718,0.996583353975675,0.2,NA,-0.0613191886572688,0,NA,-0.742778731136015,-0.1
AT1G01450,,259435_at,0.953143672175718,1.21442495139933,0.2,NA,-0.556368970640384,-0.1,NA,-1.14932606897215,-0.2
AT1G01460,PIP5K10,259425_at,NA,-0.100915680707985,0,NA,-0.847715508359922,-0.1,NA,1.03527199179425,0.1
AT1G01470,LEA14,259426_at,0.962312862935318,0.483785660061084,0.2,NA,0.649612283531864,0.2,NA,-0.822117448419359,-0.2
AT1G01480,ACS2,259439_at,NA,0.1779702811581,0,NA,0.200912410639279,0,NA,1.79210240016322,0.2
AT1G01490,,259434_at,0.953143672175718,-1.35734508720623,-0.3,NA,0.295362988181902,0.1,NA,-1.1420540981887,-0.3
AT1G01500,,259436_at,0.968626425071757,-0.373982777057788,-0.1,NA,-0.64820540787372,-0.1,NA,-0.577498748369948,-0.1
AT1G01510,AN,259438_at,NA,0.10990180506382,0,NA,-0.805744439549127,-0.1,NA,0.37880490257261,0
AT1G01520,,259432_at,0.953143672175718,-2.35921340823179,-0.4,0.996965539297179,-0.0966698020072276,-0.1,NA,-3.55025817181661,-0.5
AT1G01530,AGL28,259427_at,NA,0.741285170846503,0.1,NA,-0.872353390319607,-0.1,NA,0.216705280531157,0
AT1G01540,,259437_at,0.959171010660004,-0.639604291340226,-0.1,NA,1.15216173247041,0.2,NA,0.767379847966427,0.2
AT1G01550,BPS1,259440_at,0.953143672175718,-0.934666076039078,-0.1,NA,-0.412750476216454,-0.1,NA,0.414455563470263,0.1
AT1G01560,MPK11,259428_at,0.959171010660004,-0.578419121741838,-0.1,NA,0.765630898302431,0.1,NA,1.72836023304594,0.2
AT1G01570,,259433_at,0.965318319131204,0.437667410197833,0.1,NA,-0.0054711138720231,0,NA,0.40405165277454,0.1
AT1G01600,CYP86A4,259429_at,0.953143672175718,-1.07334981979043,-0.2,NA,-2.96625429308201,-0.5,NA,-1.74454948325586,-0.3
AT1G01610,GPAT4,259430_at,NA,-0.251480476589693,0,NA,0.714650615218995,0.2,NA,-1.43316615056807,-0.5
AT1G01620,PIP1-3,259431_at,0.968005312995502,-0.375552081264049,-0.1,NA,0.321149114774899,0.1,NA,-0.980677917415262,-0.3
AT1G01630,,261563_at,0.953143672175718,-1.68559002171157,-0.2,NA,-0.841942224355342,-0.1,NA,-1.31415449489755,-0.3
AT1G01640,,261586_at,NA,0.338799390829799,0,NA,-0.793132174313511,-0.1,NA,-0.996983183618144,-0.1
AT1G01650,SPPL4,257484_at,0.953143672175718,-1.59556451562168,-0.2,NA,-0.487046942995494,-0.1,NA,-0.995537230025626,-0.1
AT1G01660,,261587_at,0.959171010660004,0.589254554764293,0.1,NA,-0.987023966757614,-0.1,NA,0.102047264843019,0
AT1G01670,PUB56,261588_at,0.973928739469074,-0.311620402049873,-0.1,NA,0.315095040528685,0.1,NA,-0.156924368606507,0
AT1G01700,ATROPGEF2,261590_at,NA,0.770153449933932,0.1,NA,-0.48626344518437,-0.1,NA,-0.415720775310371,0
AT1G01710,,261560_at,0.9912871975766,-0.0751602570244254,0,NA,-0.674031328419761,-0.1,NA,0.0914773747758971,0
AT1G01720,NAC002,261564_at,0.967591374490665,-0.388263898579919,-0.1,NA,-1.94743438640664,-0.7,0.690458826834404,-1.34326973285148,-0.6
AT1G01725,,261535_at,0.953143672175718,-1.1017485958646,-0.2,NA,-1.13798783006667,-0.2,NA,-1.1866719321847,-0.3
AT1G01730,,261561_at,0.973879941402556,-0.312563047329683,0,NA,-3.03906213943598,-0.4,NA,-1.31440952500743,-0.2
AT1G01740,BSK4,261591_at,0.975605699697171,0.288261539961872,0,NA,-0.522301404753515,-0.1,NA,0.103871024621782,0
AT1G01750,ADF11,261562_at,0.994542031875041,-0.0554816694693647,0,NA,-2.33698665917425,-0.3,NA,-0.248758707407697,0
AT1G01760,,261592_at,NA,-0.427517494124961,0,NA,-0.579441013762735,-0.1,NA,-2.466235524356,-0.5
AT1G01770,,261558_at,0.996204240714584,0.0401722818104909,0,NA,0.392699518141964,0.2,NA,-0.97147414228255,-0.3
AT1G01780,PLIM2B,261559_at,0.953143672175718,-1.40661348211574,-0.2,NA,0.0565766509487701,0,NA,-0.679440180899604,-0.1
AT1G01790,KEA1,261536_at,0.954253784789457,-0.864143051460541,-0.2,NA,-0.156417740775904,0,NA,0.815766091682416,0.1
AT1G01800,,261537_at,0.954253784789457,-0.873561600049657,-0.1,NA,-0.269672767708728,0,NA,-1.61238087310255,-0.3
AT1G01820,PEX11C,261534_at,0.962312862935318,-0.481390163091424,-0.1,NA,-1.04463875301763,-0.1,NA,0.353129246202447,0.1
AT1G01830,,261538_at,0.959171010660004,-0.611993555467634,-0.1,NA,0.0334381923597804,0,NA,-0.900918397590447,-0.3
AT1G01840,,261539_at,0.953143672175718,1.03344864779956,0.2,NA,-0.0291471388779804,0,NA,-1.39051104545124,-0.2
AT1G01860,PFC1,261652_at,0.953143672175718,1.06454381554606,0.1,NA,-0.999604108449244,-0.1,NA,-0.565471678803825,-0.1
AT1G01900,SBTI1.1,261653_at,0.953143672175718,1.38868001250728,0.3,NA,-0.854279621117056,-0.1,NA,-1.13995410393808,-0.2
AT1G01910,,261627_at,NA,0.145783441517198,0,NA,-0.497054119533532,-0.1,NA,0.58634205276443,0.1
AT1G01920,,261654_at,0.953143672175718,1.99786433905418,0.2,NA,1.55539217159365,0.2,NA,-1.68851859596339,-0.2
AT1G01930,,261625_at,0.959969180017631,0.554720492066559,0.1,NA,0.939699587271334,0.2,NA,0.523523033872403,0.2
AT1G01940,CYP18-1,261655_at,0.954253784789457,0.861870833220178,0.1,NA,-0.448222120196336,-0.2,0.963365623581254,0.460553000162571,0.2
AT1G01950,ARK2,261656_at,0.959171010660004,-0.680201348531806,-0.1,NA,-1.03292716717058,-0.2,NA,0.931664778433061,0.1
AT1G01960,BIG3,261621_at,0.954458871645888,-0.774960734602882,-0.1,NA,-0.923151268735428,-0.1,NA,-0.133347010806494,0
