Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '0 minute'.pValue,'mbf1c mutant' vs 'wild type' at '0 minute'.tStat,'mbf1c mutant' vs 'wild type' at '20 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '20 minute'.pValue,'mbf1c mutant' vs 'wild type' at '20 minute'.tStat,'mbf1c mutant' vs 'wild type' at '60 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '60 minute'.pValue,'mbf1c mutant' vs 'wild type' at '60 minute'.tStat
AT1G01040,DCL1,261584_at,0.1,0.975062706063474,0.299773766934136,,,,,,
AT1G01060,LHY,261569_at,-1.2,0.953143672175718,-1.71596002283551,-0.6,0.877971443446578,-0.776838397723657,-1.4,0.409555172010068,-2.33323254298157
AT1G01080,AT1G01080,261577_at,0.1,0.956044959703157,0.763891694573722,,,,,,
AT1G01100,RPP1A,261578_at,0.1,0.953143672175718,0.905511280741809,,,,,,
AT1G01120,KCS1,261570_at,-0.1,0.961737379567544,-0.506495222178697,,,,0.1,0.99420383898272,0.133799406685348
AT1G01140,CIPK9,261581_at,-0.2,0.953143672175718,-1.39197264124203,,,,0.9,0.552360971068656,1.74319214880329
AT1G01160,GIF2,261582_at,-0.3,0.953143672175718,-1.56661992637359,,,,,,
AT1G01170,AT1G01170,261572_at,0.2,0.953143672175718,1.73587027442523,,,,,,
AT1G01190,CYP78A8,261574_at,-0.4,0.953143672175718,-1.69990864734824,,,,,,
AT1G01200,RABA3,261042_at,0.1,0.953143672175718,1.04003277361474,,,,,,
AT1G01230,AT1G01230,261057_at,-0.1,0.954458871645888,-0.788929884573532,,,,,,
AT1G01240,AT1G01240,261026_at,-0.3,0.956044959703157,-0.759959942921941,,,,,,
AT1G01250,ERF023,261059_at,-0.1,0.953143672175718,-1.2240057711328,,,,,,
AT1G01280,CYP703A2,261051_at,0.1,0.957088940782599,0.756793801700351,,,,,,
AT1G01290,CNX 3.00,261044_at,-0.1,0.959171010660004,-0.592280829452193,,,,,,
AT1G01300,APF2,261055_at,0.1,0.964222886237122,0.450709813816251,,,,,,
AT1G01320,AT1G01320,261053_at,0.4,0.953143672175718,1.34595319237104,,,,,,
AT1G01340,CNGC10,261027_at,-0.1,0.957440716376245,-0.75215386938287,,,,,,
AT1G01360,PYL9,261056_at,-0.3,0.953143672175718,-1.28719113044851,,,,,,
AT1G01370,HTR12,261058_at,0.1,0.953143672175718,1.10303272683064,,,,,,
AT1G01390,AT1G01390,261046_at,-0.1,0.975087028335332,-0.298378208018741,,,,,,
AT1G01420,UGT72B3,261048_at,-0.1,0.957440716376245,-0.752078350831836,,,,,,
AT1G01430,TBL25,261049_at,-0.2,0.953143672175718,-0.914959411687005,,,,,,
AT1G01440,AT1G01440,261052_at,0.2,0.953143672175718,0.996583353975675,,,,,,
AT1G01450,AT1G01450,259435_at,0.2,0.953143672175718,1.21442495139933,,,,,,
AT1G01470,LEA14,259426_at,0.2,0.962312862935318,0.483785660061084,,,,,,
AT1G01490,AT1G01490,259434_at,-0.3,0.953143672175718,-1.35734508720623,,,,,,
AT1G01500,AT1G01500,259436_at,-0.1,0.968626425071757,-0.373982777057788,,,,,,
AT1G01520,AT1G01520,259432_at,-0.4,0.953143672175718,-2.35921340823179,-0.1,0.996965539297179,-0.0966698020072276,,,
AT1G01540,AT1G01540,259437_at,-0.1,0.959171010660004,-0.639604291340226,,,,,,
AT1G01550,BPS1,259440_at,-0.1,0.953143672175718,-0.934666076039078,,,,,,
AT1G01560,MPK11,259428_at,-0.1,0.959171010660004,-0.578419121741838,,,,,,
AT1G01570,AT1G01570,259433_at,0.1,0.965318319131204,0.437667410197833,,,,,,
AT1G01600,CYP86A4,259429_at,-0.2,0.953143672175718,-1.07334981979043,,,,,,
AT1G01620,PIP1-3,259431_at,-0.1,0.968005312995502,-0.375552081264049,,,,,,
AT1G01630,AT1G01630,261563_at,-0.2,0.953143672175718,-1.68559002171157,,,,,,
AT1G01650,SPPL4,257484_at,-0.2,0.953143672175718,-1.59556451562168,,,,,,
AT1G01660,AT1G01660,261587_at,0.1,0.959171010660004,0.589254554764293,,,,,,
AT1G01670,PUB56,261588_at,-0.1,0.973928739469074,-0.311620402049873,,,,,,
AT1G01720,NAC002,261564_at,-0.1,0.967591374490665,-0.388263898579919,,,,-0.6,0.690458826834404,-1.34326973285148
AT1G01725,AT1G01725,261535_at,-0.2,0.953143672175718,-1.1017485958646,,,,,,
AT1G01780,PLIM2B,261559_at,-0.2,0.953143672175718,-1.40661348211574,,,,,,
AT1G01790,KEA1,261536_at,-0.2,0.954253784789457,-0.864143051460541,,,,,,
AT1G01800,AT1G01800,261537_at,-0.1,0.954253784789457,-0.873561600049657,,,,,,
AT1G01820,PEX11C,261534_at,-0.1,0.962312862935318,-0.481390163091424,,,,,,
AT1G01830,AT1G01830,261538_at,-0.1,0.959171010660004,-0.611993555467634,,,,,,
AT1G01840,AT1G01840,261539_at,0.2,0.953143672175718,1.03344864779956,,,,,,
AT1G01860,PFC1,261652_at,0.1,0.953143672175718,1.06454381554606,,,,,,
AT1G01900,SBTI1.1,261653_at,0.3,0.953143672175718,1.38868001250728,,,,,,
AT1G01920,AT1G01920,261654_at,0.2,0.953143672175718,1.99786433905418,,,,,,
AT1G01930,AT1G01930,261625_at,0.1,0.959969180017631,0.554720492066559,,,,,,
AT1G01940,CYP18-1,261655_at,0.1,0.954253784789457,0.861870833220178,,,,0.2,0.963365623581254,0.460553000162571
AT1G01950,ARK2,261656_at,-0.1,0.959171010660004,-0.680201348531806,,,,,,
